"SamAccountName","DisplayName","EmployeeID","Department","Title","Enabled","DistinguishedName"
"Administrator",,,,,"True","CN=Administrator,CN=Users,DC=ellistech,DC=test"
"Guest",,,,,"False","CN=Guest,CN=Users,DC=ellistech,DC=test"
"krbtgt",,,,,"False","CN=krbtgt,CN=Users,DC=ellistech,DC=test"
"hwilson",,,,,"True","CN=Henry Wilson,OU=IT,OU=Users,OU=EllisTech,DC=ellistech,DC=test"
"nellis",,,,,"True","CN=Nicole Ellis,OU=IT,OU=Users,OU=EllisTech,DC=ellistech,DC=test"
"bcarter",,,,,"True","CN=Ben Carter,OU=Finance,OU=Users,OU=EllisTech,DC=ellistech,DC=test"
"cruiz",,,,,"True","CN=Carla Ruiz,OU=Finance,OU=Users,OU=EllisTech,DC=ellistech,DC=test"
"dlee",,,,,"True","CN=David Lee,OU=HR,OU=Users,OU=EllisTech,DC=ellistech,DC=test"
"mtorres",,,,,"True","CN=Maria Torres,OU=HR,OU=Users,OU=EllisTech,DC=ellistech,DC=test"
"adm-nicole",,,,,"True","CN=nicole admin,OU=Admin Accounts,OU=EllisTech,DC=ellistech,DC=test"
"astone",,,"Finance",,"True","CN=Avery Stone,OU=Finance,OU=Users,OU=EllisTech,DC=ellistech,DC=test"
"jreed",,,"HR",,"True","CN=Jordan Reed,OU=HR,OU=Users,OU=EllisTech,DC=ellistech,DC=test"
"tnguyen",,,"IT",,"True","CN=Taylor Nguyen,OU=IT,OU=Users,OU=EllisTech,DC=ellistech,DC=test"
"lparker",,"10501","Finance","Senior Financial Analyst","True","CN=Liam Parker,OU=Finance,OU=Users,OU=EllisTech,DC=ellistech,DC=test"
"smartinez",,"10502","HR","Talent Coordinator","True","CN=Sofia Martinez,OU=HR,OU=Users,OU=EllisTech,DC=ellistech,DC=test"
"ekim",,"10503","IT","Systems Support Specialist","True","CN=Ethan Kim,OU=IT,OU=Users,OU=EllisTech,DC=ellistech,DC=test"
